gate_id,task_type,target_ref,metric_code,metric_name,metric_level,metric_owner_current,requested_owner,current_status,priority,title,required_decision,required_evidence_fields,resolution_rule,boundary_note
signoff_8,owner_signoff,SCM-MECE-L3-027,business_available_qty,业务可用库存,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：业务可用库存,确认可用库存是否扣减预占、冻结、残次与不可售,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_9,owner_signoff,SCM-MECE-L3-032,stocking_planned_inventory_qty,备货计划库存,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：备货计划库存,确认备货计划库存的来源规则与默认0处理,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_16,owner_signoff,SCM-MECE-L3-044,negative_available_inventory_count,负可用库存经营主键数,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：负可用库存经营主键数,确认负可用库存的业务允许场景与例外,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_19,owner_signoff,SCM-MECE-L3-056,inventory_count_accuracy_rate,盘点准确率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：盘点准确率,确认盘点差异分母与账实一致口径,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_10,owner_signoff,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：SKU 缺货率,确认SKU缺货判断主键与应可售范围,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_11,owner_signoff,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：件数缺货率,确认缺货件数损失的预测基线,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_12,owner_signoff,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：金额缺货率,确认缺货金额损失的GMV口径,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_13,owner_signoff,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：断货损失金额,确认损失金额采用GMV还是毛利,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_14,owner_signoff,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：安全库存覆盖率,确认安全库存阈值版本和ABC分层,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_15,owner_signoff,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：库存-销售匹配度,确认库存结构与销售结构的评分权重,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_17,owner_signoff,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：库容利用率,确认库容容量单位、可用库容与冻结库容处理,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_18,owner_signoff,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,L3,库存运营 Owner,待确认,未发起,P0,P0 指标签字：拣货效率 UPH,确认作业小时、拣货件数和异常订单排除规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_28,owner_signoff,SCM-MECE-L3-137,unmatched_planned_inventory_qty,未匹配计划库存数量,L3,数据治理 Owner,待确认,未发起,P0,P0 指标签字：未匹配计划库存数量,确认GTIN/MSKU/SKU映射失败规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_29,owner_signoff,SCM-MECE-L3-138,inventory_sync_delay_minutes,库存同步延迟分钟数,L3,数据治理 Owner,待确认,未发起,P0,P0 指标签字：库存同步延迟分钟数,确认来源系统同步时间与任务时间,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_30,owner_signoff,SCM-MECE-L3-139,business_default_zero_rate,业务默认 0 字段占比,L3,数据治理 Owner,待确认,未发起,P0,P0 指标签字：业务默认 0 字段占比,确认默认0字段是否作为质量问题或业务规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_23,owner_signoff,SCM-MECE-L3-066,last_mile_delivery_rate,妥投率,L3,物流运营 Owner,待确认,未发起,P0,P0 指标签字：妥投率,确认尾程妥投口径与平台回传时间,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_20,owner_signoff,SCM-MECE-L3-126,transfer_success_rate,调拨成功率,L3,物流运营 Owner,待确认,未发起,P0,P0 指标签字：调拨成功率,确认调拨成功判断、完成窗口和取消单排除规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_21,owner_signoff,SCM-MECE-L3-127,transfer_cycle_days,调拨周期天数,L3,物流运营 Owner,待确认,未发起,P0,P0 指标签字：调拨周期天数,确认调拨创建、发出、到达、上架节点,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_22,owner_signoff,SCM-MECE-L3-128,transfer_quantity_fulfillment_rate,调拨数量达成率,L3,物流运营 Owner,待确认,未发起,P0,P0 指标签字：调拨数量达成率,确认确认调拨量与实收量差异处理,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_1,owner_signoff,SCM-MECE-L3-001,forecast_accuracy_daily,日常预测准确率,L3,计划 Owner,待确认,未发起,P0,P0 指标签字：日常预测准确率,确认预测口径、预测版本、误差分母与时间粒度,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_2,owner_signoff,SCM-MECE-L3-007,recommended_purchase_qty,推荐采购量,L3,计划 Owner,待确认,未发起,P0,P0 指标签字：推荐采购量,确认建议采购数量是否扣减在途、未交PO和安全库存,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_3,owner_signoff,SCM-MECE-L3-112,plan_attainment_rate,计划达成率,L3,计划 Owner,待确认,未发起,P0,P0 指标签字：计划达成率,确认计划达成的计划类型与完成口径,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
signoff_26,owner_signoff,SCM-MECE-L3-036,full_chain_turnover_days_amount,全链条库存资金周转天数,L3,财务/成本 Owner,待确认,未发起,P0,P0 指标签字：全链条库存资金周转天数,确认金额口径、日均COGS和在途/未交PO纳入规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
