gate_id,metric_id,metric_code,metric_name,metric_level,metric_type,current_grain,direction,owner_candidate_from_metric,current_gate_owner,current_gate_status,decision_question,confirmed_owner,signoff_date,definition_version,denominator,approved_grain,exception_rules,evidence_ref,decision_result,boundary_note
signoff_1,SCM-MECE-L3-001,forecast_accuracy_daily,"日常预测准确率",L3,derived,"forecast_version + sku + channel + period",higher_better,"计划 Owner","待确认","未发起","确认预测口径、预测版本、误差分母与时间粒度","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_2,SCM-MECE-L3-007,recommended_purchase_qty,"推荐采购量",L3,derived,"sku/msku + destination_warehouse + plan_version",action_metric,"计划 Owner","待确认","未发起","确认建议采购数量是否扣减在途、未交PO和安全库存","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_4,SCM-MECE-L3-016,purchase_delivery_rate,"采购交付率",L3,derived,"po_no + sku + supplier + period",higher_better,"采购与供应商 Owner","待确认","未发起","确认供应商交付完成口径与迟到容忍窗口","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_5,SCM-MECE-L3-019,supplier_otif_rate,"供应商 OTIF",L3,derived,"supplier + sku + period",higher_better,"采购与供应商 Owner","待确认","未发起","确认供应商OTIF的准时与足量定义","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_8,SCM-MECE-L3-027,business_available_qty,"业务可用库存",L3,derived,"snapshot_time + platform + business_key + warehouse_or_country",higher_better,"库存运营 Owner","待确认","未发起","确认可用库存是否扣减预占、冻结、残次与不可售","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_9,SCM-MECE-L3-032,stocking_planned_inventory_qty,"备货计划库存",L3,atomic,"plan_source_type + platform + business_key + warehouse_or_country",observe,"库存运营 Owner","待确认","未发起","确认备货计划库存的来源规则与默认0处理","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_26,SCM-MECE-L3-036,full_chain_turnover_days_amount,"全链条库存资金周转天数",L3,derived,"channel + country + category + sku + period",lower_better,"财务/成本 Owner","待确认","未发起","确认金额口径、日均COGS和在途/未交PO纳入规则","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_16,SCM-MECE-L3-044,negative_available_inventory_count,"负可用库存经营主键数",L3,atomic,"platform + warehouse_or_country + period",lower_better,"库存运营 Owner","待确认","未发起","确认负可用库存的业务允许场景与例外","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_19,SCM-MECE-L3-056,inventory_count_accuracy_rate,"盘点准确率",L3,derived,"warehouse + sku + count_task",higher_better,"库存运营 Owner","待确认","未发起","确认盘点差异分母与账实一致口径","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_23,SCM-MECE-L3-066,last_mile_delivery_rate,"妥投率",L3,derived,"carrier + country + channel + period",higher_better,"物流运营 Owner","待确认","未发起","确认尾程妥投口径与平台回传时间","","","","","","","","",owner_signoff_required_before_provider_or_writeback
