order_issue,voc_theme,user_voice,refund_amt,refund_qty
"平台:AMZ, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),45.4,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",28.05,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",69.21,1
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),47.37,2
"平台:AMZ, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",20.98,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",36.88,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",55.05,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",58.82,2
"平台:DTC, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",26.63,2
"平台:AMZ, 国家:UK, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,69.03,2
"平台:AMZ, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),12.75,2
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",31.16,2
"平台:AMZ, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),40.29,2
"平台:DTC, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),52.84,2
"平台:AMZ, 国家:FR, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",25.04,1
"平台:AMZ, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),71.08,2
"平台:AMZ, 国家:DE, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,22.44,1
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",48.72,2
"平台:DTC, 国家:DE, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,56.31,1
"平台:DTC, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),39.69,2
"平台:DTC, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),46.66,1
"平台:DTC, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),54.78,2
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",45.68,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",37.69,1
"平台:DTC, 国家:US, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,17.39,1
"平台:DTC, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",58.9,2
"平台:DTC, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",42.64,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),55.65,2
"平台:AMZ, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),60.58,1
"平台:AMZ, 国家:US, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",24.08,2
"平台:AMZ, 国家:DE, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",24.97,2
"平台:AMZ, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),39.62,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",29.01,2
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),65.22,2
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),44.88,1
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),12.13,1
"平台:AMZ, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),10.42,1
"平台:DTC, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),26.06,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),51.12,2
"平台:AMZ, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),21.98,2
"平台:AMZ, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),27.06,1
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),26.44,2
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),43.28,2
"平台:DTC, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",43.69,2
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,41.88,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",26.28,2
"平台:AMZ, 国家:FR, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,45.39,2
"平台:AMZ, 国家:FR, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),48.18,1
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),16.51,1
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),66.45,1
"平台:DTC, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),39.91,2
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,40.74,2
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),50.44,1
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",19.12,1
"平台:DTC, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),44.89,2
"平台:DTC, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),70.03,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),29.67,1
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",65.41,2
"平台:DTC, 国家:DE, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",57.72,2
"平台:AMZ, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",46.53,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",45.77,2
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",12.03,1
"平台:AMZ, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",24.16,1
"平台:DTC, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",57.5,2
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",41.8,1
"平台:AMZ, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),59.61,1
"平台:DTC, 国家:FR, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,40.2,2
"平台:AMZ, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),49.68,2
"平台:DTC, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",37.23,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",62.96,1
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),52.79,2
"平台:DTC, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",14.81,2
"平台:DTC, 国家:AU, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),57.76,2
"平台:DTC, 国家:AU, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),73.2,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),53.43,2
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),78.53,1
"平台:AMZ, 国家:FR, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",62.01,2
