gate_id,task_type,target_ref,metric_code,metric_name,metric_level,metric_owner_current,requested_owner,current_status,priority,title,required_decision,required_evidence_fields,resolution_rule,boundary_note
mapping_34,field_mapping,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,L3,库存运营 Owner,仓储运营 Owner,待确认,P0,字段映射确认：库容利用率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_32,field_mapping,SCM-MECE-L3-123,pallet_fill_rate,托盘填充率,L3,库存运营 Owner,仓储运营 Owner,待确认,P0,字段映射确认：托盘填充率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_33,field_mapping,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,L3,库存运营 Owner,仓储运营 Owner,待确认,P0,字段映射确认：拣货效率 UPH,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_46,field_mapping,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：SKU 缺货率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_48,field_mapping,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：件数缺货率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_43,field_mapping,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：金额缺货率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_47,field_mapping,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：断货损失金额,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_45,field_mapping,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：安全库存覆盖率,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_52,field_mapping,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,L3,库存运营 Owner,库存运营 Owner,待确认,P0,字段映射确认：库存-销售匹配度,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_4,field_mapping,SCM-MECE-L3-137,unmatched_planned_inventory_qty,未匹配计划库存数量,L3,数据治理 Owner,数据治理 Owner,待确认,P0,字段映射确认：未匹配计划库存数量,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
mapping_12,field_mapping,SCM-MECE-L3-138,inventory_sync_delay_minutes,库存同步延迟分钟数,L3,数据治理 Owner,数据治理 Owner,待确认,P0,字段映射确认：库存同步延迟分钟数,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
