page,module,story_question,chart_or_component,primary_table,grain,required_fields,metric_logic,filters,drilldown_key,readiness,data_owner_dependency
指标体系,指标体系与指标字典,指标是否先于洞察故事线被定义清楚,指标字典搜索表,fulfillment_metric_dictionary_20260625.csv,指标行,priority;module;category;metric_name;definition;formula;source_table;source_field_or_logic,以 Excel 指标 sheet 为底表并映射 L0-L3 与 P0-P3,metric_keyword;module;priority,metric_name,ready_from_excel_extract,BI owner 校验字段血缘
指标体系,业务口径覆盖,业务确认项是否已覆盖到指标和图表,口径覆盖表,fulfillment_metric_decision_overlay_20260625.csv,决策项,decision_id;scope;metric_or_module;confirmed_decision;implementation_impact;data_dependency;status,只展示 confirmed 决策并驱动页面口径说明,scope;status,decision_id,ready_from_business_decision,业务 owner 确认口径长期有效
履约总览,指标速览,今天履约是否失控以及卡在哪段链路,横向 KPI 卡片,agg_fulfillment_kpi_daily,日期+筛选维度,biz_date;raw_order_count;split_order_count;unaudited_order_count;issue_order_count;audit_sla_24h_rate;pay_ship_sla_48h_rate;item_ship_sla_24h_rate;unshipped_overdue_rate;delivery_10d_rate,所有比率必须同时返回 numerator 和 denominator,付款时间;SKU;店铺;站点;国家;仓库;物流方式;订单状态,biz_date+filter_hash,contract_ready_sample_only,订单事实表与 TMS 包裹表
履约总览,链路瓶颈,从付款到 TMS 签收哪一段掉速,履约链路漏斗,agg_fulfillment_kpi_daily,日期+筛选维度,raw_order_count;split_order_count;audit_sla_24h_num;pay_ship_sla_24h_num;item_ship_sla_24h_num;delivery_5d_num,按链路顺序展示数量与达成率不把商品行和订单单号混为同一分母,付款时间;国家;仓库;SKU,biz_date+filter_hash,contract_ready_sample_only,订单商品行分母需数据 owner 确认
履约总览,风险贡献,风险从哪些模块贡献,风险贡献归因,agg_fulfillment_risk_daily,日期+风险类型+risk_owner,biz_date;risk_type;risk_orders;risk_items;risk_share;owner_domain,风险贡献按未发货;缺货;审核慢;妥投慢;跨区五类归因,付款时间;国家;仓库;SKU;risk_type,risk_type+owner_domain,new_contract_required,需由各聚合表汇总形成风险宽表
订单履约明细,单票卡点,每一单卡在哪个环节,高密度明细表,fact_order_fulfillment_order_daily,系统自发货订单,ref_no;erp_code;order_status;issue_type;pay_time;os_auth_time;send_time;warehouse_code;shop_account;site_code;country_code,拆单废弃不统计其他废弃纳入且虚拟商品保留标识,付款时间;SKU;店铺;站点;国家;仓库;订单状态;异常标识,erp_code,v0_erp_fields_ready,订单状态码和废弃规则需 owner 签字
订单履约明细,单票链路,订单从付款到签收的四段时点是否完整,单票链路定位,fact_order_fulfillment_order_daily,系统自发货订单,erp_code;pay_time;os_auth_time;send_time;tms_sign_time;audit_actor_type,付款-审核-发货-签收按小时计算间隔签收时间以 TMS 为准,付款时间;国家;仓库;物流方式,erp_code,needs_tms_join,订单表与包裹表跟踪号映射
订单履约明细,商品行追溯,订单维度与商品行维度差异来自哪里,商品行明细,fact_order_fulfillment_item_daily,订单商品行,erp_code;sku_code;seller_sku;supply_sku;spu_code;item_qty;item_send_qty;virtual_flag,item_ship_rate=item_send_qty/item_qty,SKU;产品名称;品类;GTM组,erp_code+sku_code,v0_erp_item_fields_ready,SKU 主数据与虚拟商品标识
订单履约分布,结构差异,哪些区域国家状态 SKU 拉低发货率,区域热力与排名,agg_order_distribution_daily,日期+国家+区域+订单状态+SKU,biz_date;region;country_code;sku_code;order_status;raw_orders;valid_orders;waiting_ship_orders;shipped_orders;ship_rate,ship_rate=shipped_orders/valid_orders,付款时间;国家;区域;SKU;订单状态,country_code+sku_code+order_status,contract_ready_sample_only,国家区域维表与订单状态映射
订单履约分布,状态结构,订单状态结构是否解释总览波动,订单状态结构分布,agg_order_distribution_daily,日期+订单状态,biz_date;order_status;valid_orders;share_of_valid_orders,share_of_valid_orders=valid_orders/sum(valid_orders),付款时间;国家;仓库;SKU,order_status,contract_ready_sample_only,状态大类与小类映射
